"stage","dogwins","games","stagescore"
1,70,740,0.0945945945945946
2,70,740,0.0945945945945946
3,54,740,0.072972972972973
4,64,740,0.0864864864864865
5,64,740,0.0864864864864865
6,62,740,0.0837837837837838
7,61,738,0.0826558265582656
8,63,738,0.0853658536585366
9,58,738,0.0785907859078591
10,68,738,0.0921409214092141
11,84,738,0.113821138211382
12,68,738,0.0921409214092141
13,69,738,0.0934959349593496
14,64,738,0.0867208672086721
15,62,738,0.0840108401084011
16,60,738,0.0813008130081301
17,77,738,0.104336043360434
18,73,738,0.0989159891598916
19,59,737,0.0800542740841248
20,74,737,0.100407055630936
21,68,737,0.0922659430122117
22,53,736,0.0720108695652174
23,62,735,0.0843537414965986
24,51,737,0.0691994572591588
25,71,737,0.096336499321574
26,74,730,0.101369863013699
27,60,730,0.0821917808219178
28,55,737,0.0746268656716418
29,63,736,0.0855978260869565
30,72,733,0.0982264665757162
31,65,578,0.112456747404844
32,43,578,0.0743944636678201
33,63,578,0.108996539792388
34,56,578,0.0968858131487889
35,38,407,0.0933660933660934
36,31,407,0.0761670761670762
37,46,368,0.125
38,34,367,0.0926430517711172
