"fav","homelosses","againsthomerevenue","homegames","againsthomerev_multiple","awaylosses","againstawayrevenue","awaygames","againstawayrev_multiple"
80662015,2,8.69,12,0.724166666666667,2,9.6,6,1.6
81782008,2,9.75,8,1.21875,1,5.25,5,1.05
81782009,3,17.25,14,1.23214285714286,1,3.5,6,0.583333333333333
81782010,2,12.9,15,0.86,1,5.4,5,1.08
81782011,3,19.8,14,1.41428571428571,3,11.93,9,1.32555555555556
81782013,1,7.5,15,0.5,2,11.75,8,1.46875
81782014,3,13.57,16,0.848125,3,12.6,8,1.575
81782015,2,20.04,13,1.54153846153846,3,13.24,12,1.10333333333333
81782016,1,7.33,7,1.04714285714286,1,3.96,3,1.32
82262009,2,10.25,9,1.13888888888889,1,4,4,1
82772012,1,5.5,12,0.458333333333333,1,5.5,4,1.375
82772013,1,15,12,1.25,2,7.5,6,1.25
82772014,1,5.05,14,0.360714285714286,4,14.46,7,2.06571428571429
82772015,1,6.54,13,0.503076923076923,1,3.8,7,0.542857142857143
82772016,1,7.26,6,1.21,1,3.63,4,0.9075
83022009,4,25.25,17,1.48529411764706,2,7.5,8,0.9375
83022010,4,26.5,16,1.65625,3,11.33,5,2.266
83022013,2,11.13,16,0.695625,2,7.24,3,2.41333333333333
83022015,1,4.5,14,0.321428571428571,1,4,9,0.444444444444444
83152015,1,8,13,0.615384615384615,2,8.07,5,1.614
83422010,2,12.25,11,1.11363636363636,4,16.8,7,2.4
83422011,1,4.75,12,0.395833333333333,2,10.1,9,1.12222222222222
83422012,3,18.69,17,1.09941176470588,2,9.84,7,1.40571428571429
83422015,1,3.65,15,0.243333333333333,2,11.73,8,1.46625
84552010,2,25.5,18,1.41666666666667,5,22.65,16,1.415625
84552011,4,29.75,19,1.56578947368421,2,18.5,14,1.32142857142857
84552012,1,6.5,15,0.433333333333333,3,12.71,13,0.977692307692308
84552013,1,17.1,19,0.9,5,24.27,12,2.0225
84552014,1,18.89,18,1.04944444444444,3,24.65,15,1.64333333333333
84552015,4,29.76,19,1.56631578947368,5,21.28,13,1.63692307692308
84562010,3,13.8,14,0.985714285714286,3,15.5,11,1.40909090909091
84562013,1,11.89,19,0.625789473684211,5,34.15,14,2.43928571428571
84562014,2,25.72,17,1.51294117647059,1,6.66,17,0.391764705882353
84562015,3,23.32,20,1.166,4,23.3,13,1.79230769230769
84662014,1,8,11,0.727272727272727,1,5.55,7,0.792857142857143
84662015,3,18.33,14,1.30928571428571,4,14.88,6,2.48
84672013,1,4.72,7,0.674285714285714,1,3.9,3,1.3
84852013,3,15.74,14,1.12428571428571,2,7.16,4,1.79
84852014,2,8.15,14,0.582142857142857,1,4.37,9,0.485555555555556
84852015,2,10.45,19,0.55,3,12.79,17,0.752352941176471
84852016,2,9.47,7,1.35285714285714,4,17.62,8,2.2025
85352013,2,18.21,14,1.30071428571429,1,3.54,7,0.505714285714286
85352014,5,21.53,14,1.53785714285714,1,3.54,8,0.4425
85352015,2,15.5,18,0.861111111111111,1,4.2,9,0.466666666666667
85352016,1,4.85,8,0.60625,1,3.66,6,0.61
85432010,2,9.6,12,0.8,1,4,3,1.33333333333333
85432014,2,11.33,13,0.871538461538462,2,7.4,5,1.48
85432015,3,15.95,18,0.886111111111111,2,11.8,6,1.96666666666667
85482009,1,15,17,0.882352941176471,1,4.7,16,0.29375
85482010,1,17,15,1.13333333333333,1,8.5,17,0.5
85482011,2,13,20,0.65,3,19,19,1
85602014,5,29.17,13,2.24384615384615,2,7.11,4,1.7775
85642008,1,12.7,8,1.5875,2,8.75,7,1.25
85642009,2,12.8,17,0.752941176470588,2,7.2,14,0.514285714285714
85642010,2,9.35,20,0.4675,3,15.85,11,1.44090909090909
85642012,5,38.35,16,2.396875,1,3.8,12,0.316666666666667
85642013,1,3.84,15,0.256,1,5.15,13,0.396153846153846
85642014,2,12.43,14,0.887857142857143,2,12,8,1.5
85642016,1,7.39,7,1.05571428571429,1,5.4,4,1.35
85712015,1,4.95,6,0.825,1,4.3,3,1.43333333333333
85832010,1,4.2,13,0.323076923076923,1,3.75,3,1.25
85862010,1,13,15,0.866666666666667,4,18.68,9,2.07555555555556
85862012,2,18.5,18,1.02777777777778,1,4.1,7,0.585714285714286
85862014,3,18.09,14,1.29214285714286,2,8.33,8,1.04125
85862015,2,15.5,13,1.19230769230769,1,3.69,7,0.527142857142857
85862016,2,9.25,8,1.15625,2,8.63,6,1.43833333333333
85922009,2,16,16,1,3,13.5,14,0.964285714285714
85922010,1,12,19,0.631578947368421,3,11.63,9,1.29222222222222
85922012,4,26.27,16,1.641875,5,21.35,10,2.135
85922013,3,21.46,17,1.26235294117647,1,4.86,6,0.81
85922015,5,38.54,17,2.26705882352941,5,20.56,8,2.57
85932009,1,7,16,0.4375,4,22.1,14,1.57857142857143
85932010,2,31,17,1.82352941176471,1,4,15,0.266666666666667
85932013,1,6,17,0.352941176470588,2,9.27,13,0.713076923076923
85932014,1,4,17,0.235294117647059,1,4.33,12,0.360833333333333
85932015,2,10.35,15,0.69,2,15.4,10,1.54
86002011,2,9,16,0.5625,1,5,3,1.66666666666667
86112010,1,5,15,0.333333333333333,2,9.55,14,0.682142857142857
86112012,3,21.25,16,1.328125,2,12.6,12,1.05
86112013,2,11.75,14,0.839285714285714,1,7.16,11,0.650909090909091
86112014,1,8.5,15,0.566666666666667,2,12.34,12,1.02833333333333
86332008,1,3.6,8,0.45,3,12,6,2
86332009,1,7,18,0.388888888888889,1,3.75,12,0.3125
86332011,2,31,16,1.9375,2,24,18,1.33333333333333
86332013,1,5.5,18,0.305555555555556,1,9.5,16,0.59375
86332014,1,5.5,16,0.34375,3,21.5,18,1.19444444444444
86342009,2,17,18,0.944444444444444,2,9.65,17,0.567647058823529
86342010,1,34,20,1.7,1,5,18,0.277777777777778
86342012,1,5.2,18,0.288888888888889,1,10.5,21,0.5
86342014,2,47.39,19,2.49421052631579,3,36.84,15,2.456
86342015,1,34,20,1.7,3,21.04,16,1.315
86342016,2,24.5,10,2.45,1,6.73,12,0.560833333333333
86352008,1,9,9,1,1,4.75,5,0.95
86352009,1,9,17,0.529411764705882,2,9.25,15,0.616666666666667
86352010,1,13,14,0.928571428571429,1,4.75,12,0.395833333333333
86352014,1,5.56,9,0.617777777777778,2,9.41,9,1.04555555555556
