team_id,year,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,team_id_tuple,team_id,year,new_id
1601,2010,30,0,,40,1,1,50,1,35,1,70,2,1,65,1,60,1,50,1,1,"(1601, 2010)",1601,2010,16012010
1601,2011,48,1,,51,1,1,68,2,67,2,51,1,1,46,1,48,1,50,1,1,"(1601, 2011)",1601,2011,16012011
1601,2012,53,1,,55,1,1,44,1,65,1,50,1,1,43,1,44,1,49,1,1,"(1601, 2012)",1601,2012,16012012
1601,2013,53,1,,55,1,1,44,1,65,1,50,1,1,43,1,44,1,49,1,1,"(1601, 2013)",1601,2013,16012013
1601,2014,53,1,48.0,38,1,1,66,1,65,1,50,1,1,43,1,44,1,49,1,1,"(1601, 2014)",1601,2014,16012014
1601,2015,47,1,48.0,38,1,1,61,1,65,1,50,1,1,43,1,44,1,49,1,1,"(1601, 2015)",1601,2015,16012015
1773,2012,52,1,,50,1,1,50,1,53,1,54,1,1,43,1,44,1,50,1,1,"(1773, 2012)",1773,2012,17732012
1773,2013,52,1,,50,1,1,50,1,53,1,54,1,1,43,1,44,1,50,1,1,"(1773, 2013)",1773,2013,17732013
1773,2014,52,1,51.0,50,1,1,50,1,53,1,54,1,1,43,1,44,1,50,1,1,"(1773, 2014)",1773,2014,17732014
1957,2010,30,0,,50,1,1,45,1,35,1,70,2,1,70,2,70,2,70,2,1,"(1957, 2010)",1957,2010,19572010
1957,2011,33,0,,52,1,1,48,1,39,1,64,1,1,32,0,56,1,52,1,1,"(1957, 2011)",1957,2011,19572011
1957,2012,58,1,,69,2,1,53,1,42,1,68,2,1,40,1,50,1,51,1,1,"(1957, 2012)",1957,2012,19572012
1957,2013,58,1,,69,2,1,53,1,42,1,68,2,1,40,1,50,1,51,1,1,"(1957, 2013)",1957,2013,19572013
1957,2014,38,1,54.0,38,1,1,53,1,27,0,66,1,1,57,1,56,1,49,1,1,"(1957, 2014)",1957,2014,19572014
1957,2015,66,1,54.0,38,1,1,53,1,33,0,66,1,1,57,1,56,1,49,1,1,"(1957, 2015)",1957,2015,19572015
2033,2010,45,1,,55,1,1,50,1,60,1,45,1,0,50,1,45,1,60,1,1,"(2033, 2010)",2033,2010,20332010
2033,2011,65,1,,55,1,1,50,1,50,1,65,1,0,50,1,45,1,35,1,1,"(2033, 2011)",2033,2011,20332011
2033,2012,45,1,,40,1,1,53,1,37,1,44,1,1,37,1,24,0,44,1,1,"(2033, 2012)",2033,2012,20332012
2033,2013,45,1,,52,1,1,53,1,37,1,43,1,0,37,1,31,0,44,1,1,"(2033, 2013)",2033,2013,20332013
2033,2014,45,1,62.0,40,1,1,53,1,37,1,44,1,1,37,1,24,0,44,1,1,"(2033, 2014)",2033,2014,20332014
2182,2010,40,1,,35,1,1,45,1,40,1,70,2,1,60,1,55,1,45,1,1,"(2182, 2010)",2182,2010,21822010
2182,2011,64,1,,57,1,1,68,2,48,1,70,2,1,59,1,37,1,48,1,1,"(2182, 2011)",2182,2011,21822011
2182,2012,67,2,,54,1,1,56,1,62,1,67,2,1,47,1,47,1,63,1,1,"(2182, 2012)",2182,2012,21822012
2182,2013,67,2,,54,1,1,56,1,62,1,67,2,1,47,1,47,1,63,1,1,"(2182, 2013)",2182,2013,21822013
2182,2014,67,2,55.0,54,1,1,56,1,62,1,67,2,1,47,1,47,1,63,1,1,"(2182, 2014)",2182,2014,21822014
